Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Label,Path,Dataset,Camera,Split,Fold
34585,7207,7207,0,/home/konradkaranowski/storage/full_data_resized/5/DR1-images-by-lesions/Normal Images/IMG0279 (10).TIF,5,Topcon TRC-50X mydriatic,train,0
72013,99762,99762,0,/home/konradkaranowski/storage/full_data_resized/13/data/69_4_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
40187,112241,112241,0,/home/konradkaranowski/storage/full_data_resized/15/IMAGES/IM004399.JPG,15,Topcon TRC NW6,train,0
26611,99942,99942,0,/home/konradkaranowski/storage/full_data_resized/13/data/119_3_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
41719,4762,4762,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/39f82967009b.png,2,Variety of cameras,train,0
81189,105031,105031,0,/home/konradkaranowski/storage/full_data_resized/13/data/1389_1_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
12307,118471,118471,0,/home/konradkaranowski/storage/full_data_resized/20/non_glaucoma/image/1462.jpg,20,Unknown,train,0
72012,104481,104481,0,/home/konradkaranowski/storage/full_data_resized/13/data/1255_1_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
57940,109095,109095,0,/home/konradkaranowski/storage/full_data_resized/13/data/2617_3_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
88201,108672,108672,0,/home/konradkaranowski/storage/full_data_resized/13/data/2474_2_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
82669,120112,120112,0,/home/konradkaranowski/storage/full_data_resized/20/non_glaucoma/image/4498.jpg,20,Unknown,train,0
94182,5201,5201,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/73b897339735.png,2,Variety of cameras,train,0
90387,118559,118559,0,/home/konradkaranowski/storage/full_data_resized/20/non_glaucoma/image/1640.jpg,20,Unknown,train,0
80673,102196,102196,0,/home/konradkaranowski/storage/full_data_resized/13/data/703_8_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
16561,103092,103092,0,/home/konradkaranowski/storage/full_data_resized/13/data/919_5_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
9536,111055,111055,0,/home/konradkaranowski/storage/full_data_resized/15/IMAGES/20051216_46018_0200_PP.png,15,Topcon TRC NW6,train,0
31803,112709,112709,0,/home/konradkaranowski/storage/full_data_resized/16/ODIR-5K_Training_Dataset/2402_left.jpg,16,"Various cameras such as Canon, Zeiss, Kowa",train,0
18145,107079,107079,0,/home/konradkaranowski/storage/full_data_resized/13/data/1938_5_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
11977,107412,107412,0,/home/konradkaranowski/storage/full_data_resized/13/data/2039_2_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
33824,120118,120118,0,/home/konradkaranowski/storage/full_data_resized/20/non_glaucoma/image/4508.jpg,20,Unknown,train,0
27656,103406,103406,0,/home/konradkaranowski/storage/full_data_resized/13/data/998_3_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
76623,109307,109307,0,/home/konradkaranowski/storage/full_data_resized/13/data/2695_1_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
70907,4895,4895,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/49a027e2cebb.png,2,Variety of cameras,train,0
57743,105376,105376,0,/home/konradkaranowski/storage/full_data_resized/13/data/1473_4_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
16005,8864,8864,0,/home/konradkaranowski/storage/full_data_resized/6/test/images/07_test.tif,6,Canon CR5 non-mydriatic 3CCD,train,0
20040,122879,122879,0,/home/konradkaranowski/storage/full_data_resized/22/RIM-ONE_DL_images/partitioned_by_hospital/training_set/normal/r2_Im146.png,22,Nidek AFC-210 non-mydriatic,train,0
56497,6877,6877,0,/home/konradkaranowski/storage/full_data_resized/5/DR1-images-by-lesions/Normal Images/IMG0016 (10).TIF,5,Topcon TRC-50X mydriatic,train,0
79111,102761,102761,0,/home/konradkaranowski/storage/full_data_resized/13/data/846_1_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
21213,118300,118300,0,/home/konradkaranowski/storage/full_data_resized/20/non_glaucoma/image/1142.jpg,20,Unknown,train,0
89497,112218,112218,0,/home/konradkaranowski/storage/full_data_resized/15/IMAGES/IM004251.JPG,15,Topcon TRC NW6,train,0
68755,114703,114703,0,/home/konradkaranowski/storage/full_data_resized/16/ODIR-5K_Training_Dataset/2843_right.jpg,16,"Various cameras such as Canon, Zeiss, Kowa",train,0
32364,9028,9028,0,/home/konradkaranowski/storage/full_data_resized/7/normal_control/207.png,7,Unknown,train,0
53121,118958,118958,0,/home/konradkaranowski/storage/full_data_resized/20/non_glaucoma/image/2392.jpg,20,Unknown,train,0
51990,112863,112863,0,/home/konradkaranowski/storage/full_data_resized/16/ODIR-5K_Training_Dataset/2556_left.jpg,16,"Various cameras such as Canon, Zeiss, Kowa",train,0
53705,4103,4103,0,/home/konradkaranowski/storage/full_data_resized/2/train_images/ebd96d853918.png,2,Variety of cameras,train,0
14295,123605,123605,0,/home/konradkaranowski/storage/full_data_resized/28/aria_c_markups/aria_c_22_9.tif,28,Zeiss FF450+ mydriatic,train,0
79527,104421,104421,0,/home/konradkaranowski/storage/full_data_resized/13/data/1242_5_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
38905,113761,113761,0,/home/konradkaranowski/storage/full_data_resized/16/ODIR-5K_Training_Dataset/4023_left.jpg,16,"Various cameras such as Canon, Zeiss, Kowa",train,0
37260,5335,5335,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/86683eb8921e.png,2,Variety of cameras,train,0
88790,106319,106319,0,/home/konradkaranowski/storage/full_data_resized/13/data/1730_2_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
12712,105081,105081,0,/home/konradkaranowski/storage/full_data_resized/13/data/1402_4_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
63762,4395,4395,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/051d9d12a6ee.png,2,Variety of cameras,train,0
44735,1278,1278,0,/home/konradkaranowski/storage/full_data_resized/2/train_images/289a47dcbb82.png,2,Variety of cameras,train,0
24851,4625,4625,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/267a4f971f1a.png,2,Variety of cameras,train,0
41727,101962,101962,0,/home/konradkaranowski/storage/full_data_resized/13/data/637_3_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
86536,103970,103970,0,/home/konradkaranowski/storage/full_data_resized/13/data/1131_4_L.jpg,13,Nidek AFC-230 non-mydriatic,train,0
56707,112918,112918,0,/home/konradkaranowski/storage/full_data_resized/16/ODIR-5K_Training_Dataset/2611_left.jpg,16,"Various cameras such as Canon, Zeiss, Kowa",train,0
69836,112016,112016,0,/home/konradkaranowski/storage/full_data_resized/15/IMAGES/IM002718.JPG,15,Topcon TRC NW6,train,0
17665,4144,4144,0,/home/konradkaranowski/storage/full_data_resized/2/train_images/ef247f28004f.png,2,Variety of cameras,train,0
16324,6626,6626,0,/home/konradkaranowski/storage/full_data_resized/3/dataset/1_normal/NL_228.png,3,Unknown,train,0
68277,100179,100179,0,/home/konradkaranowski/storage/full_data_resized/13/data/183_3_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
86551,107503,107503,0,/home/konradkaranowski/storage/full_data_resized/13/data/2072_1_R.jpg,13,Nidek AFC-230 non-mydriatic,train,0
80447,114853,114853,0,/home/konradkaranowski/storage/full_data_resized/16/ODIR-5K_Training_Dataset/2993_right.jpg,16,"Various cameras such as Canon, Zeiss, Kowa",train,0
71941,5803,5803,0,/home/konradkaranowski/storage/full_data_resized/2/test_images/c1ddef7c2411.png,2,Variety of cameras,train,0
